MISSION SUPPORT AND TEST SERVICES LLC	1.3618080812E11	DEPARTMENT OF ENERGY (DOE)
MASSACHUSETTS INSTITUTE OF TECHNOLOGY	1.3285025757762E11	DEPARTMENT OF DEFENSE (DOD)
SEOHEE CONSTRUCTION CO., LTD.	1.2889445029162E11	DEPARTMENT OF DEFENSE (DOD)
LOCKHEED MARTIN CORPORATION (3632)	1.2207150850371999E11	DEPARTMENT OF DEFENSE (DOD)
CLARK MCCARTHY HEALTHCARE PARTNERS II	1.2066502790050003E11	DEPARTMENT OF DEFENSE (DOD)
HONEYWELL INTERNATIONAL INC.	1.1600153907175002E11	DEPARTMENT OF ENERGY (DOE)
SCIENCE APPLICATIONS INTERNATIONAL CORPORATION	1.0664023079459973E11	DEPARTMENT OF DEFENSE (DOD)
NATIONAL STEEL & SHIPBUILDING COMPANY	1.0415655464895E11	DEPARTMENT OF DEFENSE (DOD)
EADS NORTH AMERICA DEFENSE COMPANY	1.0266460001902E11	DEPARTMENT OF DEFENSE (DOD)
FLUOR INTERCONTINENTAL INCORPORATED	9.993443188032999E10	DEPARTMENT OF DEFENSE (DOD)
GENERAL ATOMICS AERONAUTICAL SYSTEMS, INC.	9.424020502607E10	DEPARTMENT OF DEFENSE (DOD)
ATK LAUNCH SYSTEMS INCORPORATED	9.4231218602E10	NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA)
KIEWITPHELPS	9.215899964725E10	DEPARTMENT OF DEFENSE (DOD)
FLUOR-B&W PORTSMOUTH LLC	9.192550546740001E10	DEPARTMENT OF ENERGY (DOE)
BROOKHAVEN SCIENCE ASSOCIATES, LLC	8.976421767094E10	DEPARTMENT OF ENERGY (DOE)
OAK RIDGE ASSOCIATED UNIVERSITIES, INCORPORATED	8.968738270388E10	DEPARTMENT OF ENERGY (DOE)
BAE SYSTEMS SAN DIEGO SHIP REPAIR INC.	8.034524643786E10	DEPARTMENT OF DEFENSE (DOD)
THE AEROSPACE CORPORATION	7.906574375484999E10	DEPARTMENT OF DEFENSE (DOD)
FERMI RESEARCH ALLIANCE LIMITED LIABILITY COMPANY	7.720860970742001E10	DEPARTMENT OF ENERGY (DOE)
OSHKOSH DEFENSE, LLC	7.333639484775002E10	DEPARTMENT OF DEFENSE (DOD)
CANADIAN COMMERCIAL CORPORATION	6.943063974317003E10	DEPARTMENT OF DEFENSE (DOD)
UNITED LAUNCH SERVICES, LLC	6.883602007939E10	DEPARTMENT OF DEFENSE (DOD)
VECTRUS SYSTEMS CORPORATION	6.62444595923E10	DEPARTMENT OF DEFENSE (DOD)
FLUOR IDAHO, LLC	6.4861605239E10	DEPARTMENT OF ENERGY (DOE)
RAYTHEON COMPANY	6.447194878013E10	NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA)
ARMY FLEET SUPPORT LLC	6.298635036318E10	DEPARTMENT OF DEFENSE (DOD)
JACOBS TECHNOLOGY INC.	6.252042614869E10	NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA)
BAE SYSTEMS TECHNOLOGY SOLUTIONS & SERVICES INC.	6.1970964487909996E10	DEPARTMENT OF DEFENSE (DOD)
THE MITRE CORPORATION	6.1220747060409996E10	DEPARTMENT OF DEFENSE (DOD)
NORTHROP GRUMMAN SYSTEMS CORPO	5.952620155465999E10	DEPARTMENT OF DEFENSE (DOD)
ASSOC UNIV RESEARCH ASTRONOMY	5.9412491754E10	NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA)
HUNTINGTON INGALLS INCORPORATED	5.9312179313E10	DEPARTMENT OF HOMELAND SECURITY (DHS)
L-3 COMMUNICATIONS VERTEX AEROSPACE LLC	5.8534444928399994E10	DEPARTMENT OF DEFENSE (DOD)
NUCLEAR WASTE PARTNERSHIP LLC	5.847781016139001E10	DEPARTMENT OF ENERGY (DOE)
L-3 COMMUNICATIONS CORPORATION	5.8186374965840004E10	DEPARTMENT OF DEFENSE (DOD)
RUSSIA SPACE AGENCY	5.708716841165002E10	NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA)
GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.	5.593140443706999E10	DEPARTMENT OF STATE (DOS)
NATIONAL SECURITY TECHNOLOGIES LIMITED LIABILITY COMPANY	5.294808764868E10	DEPARTMENT OF ENERGY (DOE)
DOYON UTILITES LIMITED LIABILITY COMPANY	5.024270082082E10	DEPARTMENT OF DEFENSE (DOD)
AAI CORPORATION	4.816623153721E10	DEPARTMENT OF DEFENSE (DOD)
MCDONNELL DOUGLAS CORPORATION	4.791148764421999E10	DEPARTMENT OF DEFENSE (DOD)
DYNCORP INTERNATIONAL LIMITED LIABILITY COMPANY (7126)	4.627525628558E10	DEPARTMENT OF DEFENSE (DOD)
LEIDOS INNOVATIONS CORPORATION	4.6134597916810005E10	DEPARTMENT OF TRANSPORTATION (DOT)
HARRIS CORPORATION	4.585177083289E10	DEPARTMENT OF TRANSPORTATION (DOT)
TRIAD NATIONAL SECURITY, LLC	4.5417115536E10	DEPARTMENT OF ENERGY (DOE)
SYNCOM SPACE SERVICES LLC	4.4993334454E10	NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA)
GENERAL DYNAMICS INFORMATION TECHNOLOGY, INC.	4.4604768877759995E10	DEPARTMENT OF HEALTH AND HUMAN SERVICES (HHS)
CHEMONICS INTERNATIONAL, INC	4.387184867784E10	AGENCY FOR INTERNATIONAL DEVELOPMENT (USAID)
DYNCORP INTERNATIONAL LLC	4.346562425648E10	DEPARTMENT OF DEFENSE (DOD)
BELL HELICOPTER TEXTRON INC.	4.268651547642E10	DEPARTMENT OF DEFENSE (DOD)
AEROJET ROCKETDYNE OF DE, INC	4.2277477638E10	NATIONAL AERONAUTICS AND SPACE ADMINISTRATION (NASA)
